PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
300,202302,4,300,252497.0,123355.0,129142.0,9,5,4,3.5643987849360584e-05,4.053341980462892e-05,3.097365690480247e-05,3.5643987849360586,4.053341980462892,3.0973656904802467
301,202302,5,301,401706.0,193934.0,207772.0,11,5,6,2.7383210606762158e-05,2.5781967060958882e-05,2.8877808366863676e-05,2.7383210606762156,2.578196706095888,2.8877808366863675
302,202302,6,302,1244051.0,591517.0,652534.0,25,16,9,2.0095639165918438e-05,2.704909579944448e-05,1.3792384764625291e-05,2.0095639165918437,2.704909579944448,1.3792384764625292
303,202302,7,303,574156.0,265130.0,309026.0,5,3,2,8.708434641456329e-06,1.1315203862256252e-05,6.471947344236407e-06,0.8708434641456329,1.1315203862256251,0.6471947344236407
304,202302,8,304,396861.0,193917.0,202944.0,9,4,5,2.2677965332950328e-05,2.0627381817994296e-05,2.4637338379060233e-05,2.2677965332950327,2.0627381817994297,2.463733837906023
305,202303,1,305,667368.0,327765.0,339603.0,18,14,4,2.6971625849606216e-05,4.2713529510472445e-05,1.1778458965321272e-05,2.697162584960622,4.271352951047245,1.1778458965321272
306,202303,2,306,391507.0,184598.0,206909.0,12,7,5,3.065079296155624e-05,3.7920237489030214e-05,2.4165212726367632e-05,3.065079296155624,3.7920237489030213,2.4165212726367633
307,202303,3,307,1075140.0,516520.0,558620.0,30,17,13,2.790334282046989e-05,3.291256872918764e-05,2.3271633668683543e-05,2.790334282046989,3.2912568729187637,2.3271633668683545
308,202303,4,308,252497.0,123355.0,129142.0,7,4,3,2.772310166061379e-05,3.2426735843703133e-05,2.323024267860185e-05,2.772310166061379,3.2426735843703134,2.323024267860185
309,202303,5,309,401706.0,193934.0,207772.0,7,6,1,1.7425679477030464e-05,3.093836047315066e-05,4.812968061143946e-06,1.7425679477030465,3.0938360473150657,0.4812968061143946
310,202303,6,310,1244051.0,591517.0,652534.0,22,11,11,1.7684162466008226e-05,1.859625336211808e-05,1.6857359156764247e-05,1.7684162466008226,1.8596253362118078,1.6857359156764247
311,202303,7,311,574156.0,265130.0,309026.0,13,8,5,2.2641930067786454e-05,3.0173876966016672e-05,1.617986836059102e-05,2.2641930067786453,3.0173876966016673,1.6179868360591019
312,202303,8,312,396861.0,193917.0,202944.0,12,10,2,3.0237287110600436e-05,5.156845454498574e-05,9.854935351624093e-06,3.0237287110600435,5.1568454544985745,0.9854935351624093
313,202304,1,313,667368.0,327765.0,339603.0,18,9,9,2.6971625849606216e-05,2.745869754244657e-05,2.650153267197286e-05,2.697162584960622,2.7458697542446573,2.650153267197286
